HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.55,14887,20390,14558,5225,244.765,240.49,15259.52474,32.479,1380,1137,263,2281,1630,313,25.75,1.78E+14,66175.39403,1.49E+16,3372288.742
0.66,15448,22388,16814,5676,239.756,229.055,15374.44708,30.66,1366,1140,305,2205,1698,316,26.25,1.81E+14,69660.61898,5.69E+15,1144487.981
0.84,15000,22298,13708,6798,244.264,249.91,14380.8663,32.875,1409,1146,278,1394,1680,294,26.05,7.09E+13,24976.99831,2.76E+16,5750867.148
0.72,15033,19134,14376,8092,244.16,241.16,15080.0064,29.583,1368,1147,320,1406,1709,309,25.9,6.30E+13,24233.9461,6.21E+15,1229162.783
0.7,14851,22673,15039,6817,235.16,238.827,14544.17256,31.224,1382,1154,302,1712,1650,300,25.2,1.09E+14,40587.02034,4.80E+15,1049330.576
0.82,14892,22289,15559,6821,235.41,236.227,14696.80644,29.521,1387,1155,278,1520,1669,304,25.7,1.18E+14,43403.1783,4.74E+15,1001327.977
0.65,15143,20605,16162,6838,234.993,235.984,14743.13304,29.917,1382,1156,283,1561,1684,305,24.55,5.47E+13,20247.02542,3.84E+15,787866.4616
0.59,14282,18403,12543,6783,235.82,229.16,14646.29352,34.468,1387,1161,262,1114,1631,301,25.9,1.78E+14,65050.65763,6.39E+15,1443341.065
0.62,14857,19552,13990,6782,253.952,241.223,15012.14596,33.229,1355,1162,325,2011,1670,309,25.3,7.42E+13,29145.457,4.18E+15,881349.6512
0.75,14442,21683,15267,6783,248.41,240.16,14602.049,35.229,1393,1163,269,1401,1677,302,24.75,1.54E+14,55965.67407,1.06E+16,2210584.043
0.85,14158,23068,17985,5503,249.141,253.12,14942.1262,35.188,1401,1168,282,1412,1662,304,24.85,1.70E+14,60559.28068,6.86E+15,1472782.424
0.71,14330,21118,16220,5541,255.495,254.537,14986.52922,33.417,1405,1169,292,1359,1655,308,24.85,8.18E+13,28991.40407,6.02E+15,1308616.784
0.5,14220,18609,13918,5547,245.589,254.22,14750.1496,30.51,1367,1171,272,1497,1680,302,26.3,1.68E+14,64538.56271,3.66E+15,761324.2173
0.5,14999,18608,13500,5919,237.599,242.558,14824.49816,31.146,1390,1172,267,3162.5,1630,306,26.15,3.36E+13,12316.5045,5.02E+15,1144932.264
0.52,14801,18621,13629,5957,247.793,241.853,14986.10388,28.184,1364,1173,314,3238.5,1699,310,25.6,4.50E+13,17452.5065,5.23E+15,1053248.884
0.57,14093,20417,14179,5978,234.599,234.62,14452.88132,35.896,1374,1174,259,3986.5,1662,298,25.55,2.49E+13,9469.886034,4.87E+15,1047806.517
0.63,14688,20437,12807,5954,241.808,239.477,14509.80564,31.729,1323,1175,321,2993.5,1659,300,26.85,5.82E+13,24736.89483,7.40E+15,1601019.349
0.65,14836,20401,15839,5294,244.12,243.72,15030.4064,33.396,1396,1176,275,1124,1669,310,25.3,8.36E+13,30255.40678,5.74E+15,1219024.435
